,Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
0,HG1,NO,01/06/2018 00:00,2.7,ug m-3,P
1,HG1,NO,01/06/2018 00:15,3.0,ug m-3,P
2,HG1,NO,01/06/2018 00:30,4.7,ug m-3,P
3,HG1,NO,01/06/2018 00:45,,ug m-3,P
4,HG1,NO,01/06/2018 01:00,,ug m-3,P
5,HG1,NO,01/06/2018 01:15,1.6,ug m-3,P
6,HG1,NO,01/06/2018 01:30,8.1,ug m-3,P
7,HG1,NO,01/06/2018 01:45,1.7,ug m-3,P
8,HG1,NO,01/06/2018 02:00,8.0,ug m-3,P
9,HG1,NO,01/06/2018 02:15,6.6,ug m-3,P
10,HG1,NO,01/06/2018 02:30,3.2,ug m-3,P
11,HG1,NO,01/06/2018 02:45,2.2,ug m-3,P
12,HG1,NO,01/06/2018 03:00,5.0,ug m-3,P
13,HG1,NO,01/06/2018 03:15,13.3,ug m-3,P
14,HG1,NO,01/06/2018 03:30,3.9,ug m-3,P
15,HG1,NO,01/06/2018 03:45,27.2,ug m-3,P
16,HG1,NO,01/06/2018 04:00,6.2,ug m-3,P
17,HG1,NO,01/06/2018 04:15,19.9,ug m-3,P
18,HG1,NO,01/06/2018 04:30,18.3,ug m-3,P
19,HG1,NO,01/06/2018 04:45,22.8,ug m-3,P
20,HG1,NO,01/06/2018 05:00,36.5,ug m-3,P
21,HG1,NO,01/06/2018 05:15,33.8,ug m-3,P
22,HG1,NO,01/06/2018 05:30,31.2,ug m-3,P
23,HG1,NO,01/06/2018 05:45,50.5,ug m-3,P
24,HG1,NO,01/06/2018 06:00,27.7,ug m-3,P
25,HG1,NO,01/06/2018 06:15,41.1,ug m-3,P
26,HG1,NO,01/06/2018 06:30,19.6,ug m-3,P
27,HG1,NO,01/06/2018 06:45,32.5,ug m-3,P
28,HG1,NO,01/06/2018 07:00,39.6,ug m-3,P
29,HG1,NO,01/06/2018 07:15,54.5,ug m-3,P
30,HG1,NO,01/06/2018 07:30,41.0,ug m-3,P
31,HG1,NO,01/06/2018 07:45,38.0,ug m-3,P
32,HG1,NO,01/06/2018 08:00,31.8,ug m-3,P
33,HG1,NO,01/06/2018 08:15,34.6,ug m-3,P
34,HG1,NO,01/06/2018 08:30,36.1,ug m-3,P
35,HG1,NO,01/06/2018 08:45,45.2,ug m-3,P
36,HG1,NO,01/06/2018 09:00,23.5,ug m-3,P
37,HG1,NO,01/06/2018 09:15,18.9,ug m-3,P
38,HG1,NO,01/06/2018 09:30,33.7,ug m-3,P
39,HG1,NO,01/06/2018 09:45,38.5,ug m-3,P
40,HG1,NO,01/06/2018 10:00,33.0,ug m-3,P
41,HG1,NO,01/06/2018 10:15,36.1,ug m-3,P
42,HG1,NO,01/06/2018 10:30,31.3,ug m-3,P
43,HG1,NO,01/06/2018 10:45,39.9,ug m-3,P
44,HG1,NO,01/06/2018 11:00,26.4,ug m-3,P
45,HG1,NO,01/06/2018 11:15,26.3,ug m-3,P
46,HG1,NO,01/06/2018 11:30,39.1,ug m-3,P
47,HG1,NO,01/06/2018 11:45,34.7,ug m-3,P
48,HG1,NO,01/06/2018 12:00,24.8,ug m-3,P
49,HG1,NO,01/06/2018 12:15,28.4,ug m-3,P
50,HG1,NO,01/06/2018 12:30,13.1,ug m-3,P
51,HG1,NO,01/06/2018 12:45,12.7,ug m-3,P
52,HG1,NO,01/06/2018 13:00,35.4,ug m-3,P
53,HG1,NO,01/06/2018 13:15,19.7,ug m-3,P
54,HG1,NO,01/06/2018 13:30,16.5,ug m-3,P
55,HG1,NO,01/06/2018 13:45,6.5,ug m-3,P
56,HG1,NO,01/06/2018 14:00,29.6,ug m-3,P
57,HG1,NO,01/06/2018 14:15,45.0,ug m-3,P
58,HG1,NO,01/06/2018 14:30,47.5,ug m-3,P
59,HG1,NO,01/06/2018 14:45,41.7,ug m-3,P
60,HG1,NO,01/06/2018 15:00,32.3,ug m-3,P
61,HG1,NO,01/06/2018 15:15,23.5,ug m-3,P
62,HG1,NO,01/06/2018 15:30,45.7,ug m-3,P
63,HG1,NO,01/06/2018 15:45,38.8,ug m-3,P
64,HG1,NO,01/06/2018 16:00,25.3,ug m-3,P
65,HG1,NO,01/06/2018 16:15,25.5,ug m-3,P
66,HG1,NO,01/06/2018 16:30,27.1,ug m-3,P
67,HG1,NO,01/06/2018 16:45,14.7,ug m-3,P
68,HG1,NO,01/06/2018 17:00,18.5,ug m-3,P
69,HG1,NO,01/06/2018 17:15,21.1,ug m-3,P
70,HG1,NO,01/06/2018 17:30,25.7,ug m-3,P
71,HG1,NO,01/06/2018 17:45,19.0,ug m-3,P
72,HG1,NO,01/06/2018 18:00,17.1,ug m-3,P
73,HG1,NO,01/06/2018 18:15,24.5,ug m-3,P
74,HG1,NO,01/06/2018 18:30,25.4,ug m-3,P
75,HG1,NO,01/06/2018 18:45,24.4,ug m-3,P
76,HG1,NO,01/06/2018 19:00,41.3,ug m-3,P
77,HG1,NO,01/06/2018 19:15,41.6,ug m-3,P
78,HG1,NO,01/06/2018 19:30,30.7,ug m-3,P
79,HG1,NO,01/06/2018 19:45,30.0,ug m-3,P
80,HG1,NO,01/06/2018 20:00,14.4,ug m-3,P
81,HG1,NO,01/06/2018 20:15,27.6,ug m-3,P
82,HG1,NO,01/06/2018 20:30,32.2,ug m-3,P
83,HG1,NO,01/06/2018 20:45,41.7,ug m-3,P
84,HG1,NO,01/06/2018 21:00,34.3,ug m-3,P
85,HG1,NO,01/06/2018 21:15,20.6,ug m-3,P
86,HG1,NO,01/06/2018 21:30,31.4,ug m-3,P
87,HG1,NO,01/06/2018 21:45,35.0,ug m-3,P
88,HG1,NO,01/06/2018 22:00,33.6,ug m-3,P
89,HG1,NO,01/06/2018 22:15,30.1,ug m-3,P
90,HG1,NO,01/06/2018 22:30,33.7,ug m-3,P
91,HG1,NO,01/06/2018 22:45,25.8,ug m-3,P
92,HG1,NO,01/06/2018 23:00,31.4,ug m-3,P
93,HG1,NO,01/06/2018 23:15,22.4,ug m-3,P
94,HG1,NO,01/06/2018 23:30,31.5,ug m-3,P
95,HG1,NO,01/06/2018 23:45,29.1,ug m-3,P
96,HG1,NO,02/06/2018 00:00,24.0,ug m-3,P
97,HG1,NO,02/06/2018 00:15,17.6,ug m-3,P
98,HG1,NO,02/06/2018 00:30,11.8,ug m-3,P
99,HG1,NO,02/06/2018 00:45,,ug m-3,P
100,HG1,NO,02/06/2018 01:00,,ug m-3,P
101,HG1,NO,02/06/2018 01:15,22.2,ug m-3,P
102,HG1,NO,02/06/2018 01:30,10.4,ug m-3,P
103,HG1,NO,02/06/2018 01:45,5.4,ug m-3,P
104,HG1,NO,02/06/2018 02:00,6.4,ug m-3,P
105,HG1,NO,02/06/2018 02:15,6.2,ug m-3,P
106,HG1,NO,02/06/2018 02:30,6.6,ug m-3,P
107,HG1,NO,02/06/2018 02:45,6.3,ug m-3,P
108,HG1,NO,02/06/2018 03:00,14.2,ug m-3,P
109,HG1,NO,02/06/2018 03:15,7.6,ug m-3,P
110,HG1,NO,02/06/2018 03:30,7.3,ug m-3,P
111,HG1,NO,02/06/2018 03:45,18.1,ug m-3,P
112,HG1,NO,02/06/2018 04:00,13.7,ug m-3,P
113,HG1,NO,02/06/2018 04:15,10.6,ug m-3,P
114,HG1,NO,02/06/2018 04:30,7.4,ug m-3,P
115,HG1,NO,02/06/2018 04:45,5.0,ug m-3,P
116,HG1,NO,02/06/2018 05:00,9.2,ug m-3,P
117,HG1,NO,02/06/2018 05:15,2.7,ug m-3,P
118,HG1,NO,02/06/2018 05:30,10.5,ug m-3,P
119,HG1,NO,02/06/2018 05:45,6.0,ug m-3,P
120,HG1,NO,02/06/2018 06:00,11.4,ug m-3,P
121,HG1,NO,02/06/2018 06:15,33.9,ug m-3,P
122,HG1,NO,02/06/2018 06:30,6.9,ug m-3,P
123,HG1,NO,02/06/2018 06:45,9.9,ug m-3,P
124,HG1,NO,02/06/2018 07:00,14.1,ug m-3,P
125,HG1,NO,02/06/2018 07:15,11.3,ug m-3,P
126,HG1,NO,02/06/2018 07:30,11.6,ug m-3,P
127,HG1,NO,02/06/2018 07:45,9.3,ug m-3,P
128,HG1,NO,02/06/2018 08:00,18.1,ug m-3,P
129,HG1,NO,02/06/2018 08:15,26.2,ug m-3,P
130,HG1,NO,02/06/2018 08:30,23.8,ug m-3,P
131,HG1,NO,02/06/2018 08:45,11.3,ug m-3,P
132,HG1,NO,02/06/2018 09:00,11.6,ug m-3,P
133,HG1,NO,02/06/2018 09:15,18.8,ug m-3,P
134,HG1,NO,02/06/2018 09:30,13.5,ug m-3,P
135,HG1,NO,02/06/2018 09:45,19.8,ug m-3,P
136,HG1,NO,02/06/2018 10:00,20.4,ug m-3,P
137,HG1,NO,02/06/2018 10:15,16.1,ug m-3,P
138,HG1,NO,02/06/2018 10:30,18.5,ug m-3,P
139,HG1,NO,02/06/2018 10:45,33.2,ug m-3,P
140,HG1,NO,02/06/2018 11:00,7.7,ug m-3,P
141,HG1,NO,02/06/2018 11:15,20.9,ug m-3,P
142,HG1,NO,02/06/2018 11:30,32.3,ug m-3,P
143,HG1,NO,02/06/2018 11:45,22.2,ug m-3,P
144,HG1,NO,02/06/2018 12:00,28.5,ug m-3,P
145,HG1,NO,02/06/2018 12:15,11.5,ug m-3,P
146,HG1,NO,02/06/2018 12:30,12.4,ug m-3,P
147,HG1,NO,02/06/2018 12:45,12.1,ug m-3,P
148,HG1,NO,02/06/2018 13:00,32.5,ug m-3,P
149,HG1,NO,02/06/2018 13:15,23.5,ug m-3,P
150,HG1,NO,02/06/2018 13:30,22.6,ug m-3,P
151,HG1,NO,02/06/2018 13:45,21.3,ug m-3,P
152,HG1,NO,02/06/2018 14:00,12.4,ug m-3,P
153,HG1,NO,02/06/2018 14:15,14.3,ug m-3,P
154,HG1,NO,02/06/2018 14:30,14.4,ug m-3,P
155,HG1,NO,02/06/2018 14:45,14.6,ug m-3,P
156,HG1,NO,02/06/2018 15:00,9.5,ug m-3,P
157,HG1,NO,02/06/2018 15:15,20.5,ug m-3,P
158,HG1,NO,02/06/2018 15:30,9.7,ug m-3,P
159,HG1,NO,02/06/2018 15:45,15.4,ug m-3,P
160,HG1,NO,02/06/2018 16:00,18.5,ug m-3,P
161,HG1,NO,02/06/2018 16:15,12.8,ug m-3,P
162,HG1,NO,02/06/2018 16:30,5.7,ug m-3,P
163,HG1,NO,02/06/2018 16:45,21.8,ug m-3,P
164,HG1,NO,02/06/2018 17:00,12.5,ug m-3,P
165,HG1,NO,02/06/2018 17:15,3.2,ug m-3,P
166,HG1,NO,02/06/2018 17:30,5.2,ug m-3,P
167,HG1,NO,02/06/2018 17:45,2.6,ug m-3,P
168,HG1,NO,02/06/2018 18:00,2.6,ug m-3,P
169,HG1,NO,02/06/2018 18:15,2.0,ug m-3,P
170,HG1,NO,02/06/2018 18:30,1.5,ug m-3,P
171,HG1,NO,02/06/2018 18:45,2.2,ug m-3,P
172,HG1,NO,02/06/2018 19:00,1.5,ug m-3,P
173,HG1,NO,02/06/2018 19:15,2.0,ug m-3,P
174,HG1,NO,02/06/2018 19:30,2.0,ug m-3,P
175,HG1,NO,02/06/2018 19:45,1.7,ug m-3,P
176,HG1,NO,02/06/2018 20:00,1.2,ug m-3,P
177,HG1,NO,02/06/2018 20:15,1.0,ug m-3,P
178,HG1,NO,02/06/2018 20:30,1.6,ug m-3,P
179,HG1,NO,02/06/2018 20:45,1.7,ug m-3,P
180,HG1,NO,02/06/2018 21:00,3.1,ug m-3,P
181,HG1,NO,02/06/2018 21:15,2.7,ug m-3,P
182,HG1,NO,02/06/2018 21:30,4.5,ug m-3,P
183,HG1,NO,02/06/2018 21:45,4.5,ug m-3,P
184,HG1,NO,02/06/2018 22:00,4.3,ug m-3,P
185,HG1,NO,02/06/2018 22:15,5.3,ug m-3,P
186,HG1,NO,02/06/2018 22:30,13.2,ug m-3,P
187,HG1,NO,02/06/2018 22:45,6.5,ug m-3,P
188,HG1,NO,02/06/2018 23:00,9.8,ug m-3,P
189,HG1,NO,02/06/2018 23:15,6.6,ug m-3,P
190,HG1,NO,02/06/2018 23:30,6.3,ug m-3,P
191,HG1,NO,02/06/2018 23:45,11.6,ug m-3,P
192,HG1,NO,03/06/2018 00:00,6.0,ug m-3,P
193,HG1,NO,03/06/2018 00:15,4.5,ug m-3,P
194,HG1,NO,03/06/2018 00:30,4.8,ug m-3,P
195,HG1,NO,03/06/2018 00:45,,ug m-3,P
196,HG1,NO,03/06/2018 01:00,,ug m-3,P
197,HG1,NO,03/06/2018 01:15,2.3,ug m-3,P
198,HG1,NO,03/06/2018 01:30,9.0,ug m-3,P
199,HG1,NO,03/06/2018 01:45,4.9,ug m-3,P
200,HG1,NO,03/06/2018 02:00,3.5,ug m-3,P
201,HG1,NO,03/06/2018 02:15,1.5,ug m-3,P
202,HG1,NO,03/06/2018 02:30,1.8,ug m-3,P
203,HG1,NO,03/06/2018 02:45,1.9,ug m-3,P
204,HG1,NO,03/06/2018 03:00,2.2,ug m-3,P
205,HG1,NO,03/06/2018 03:15,8.7,ug m-3,P
206,HG1,NO,03/06/2018 03:30,2.8,ug m-3,P
207,HG1,NO,03/06/2018 03:45,3.2,ug m-3,P
208,HG1,NO,03/06/2018 04:00,5.7,ug m-3,P
209,HG1,NO,03/06/2018 04:15,7.0,ug m-3,P
210,HG1,NO,03/06/2018 04:30,6.8,ug m-3,P
211,HG1,NO,03/06/2018 04:45,9.2,ug m-3,P
212,HG1,NO,03/06/2018 05:00,20.8,ug m-3,P
213,HG1,NO,03/06/2018 05:15,7.7,ug m-3,P
214,HG1,NO,03/06/2018 05:30,9.8,ug m-3,P
215,HG1,NO,03/06/2018 05:45,8.6,ug m-3,P
216,HG1,NO,03/06/2018 06:00,11.2,ug m-3,P
217,HG1,NO,03/06/2018 06:15,7.9,ug m-3,P
218,HG1,NO,03/06/2018 06:30,12.9,ug m-3,P
219,HG1,NO,03/06/2018 06:45,28.2,ug m-3,P
220,HG1,NO,03/06/2018 07:00,18.9,ug m-3,P
221,HG1,NO,03/06/2018 07:15,17.2,ug m-3,P
222,HG1,NO,03/06/2018 07:30,32.2,ug m-3,P
223,HG1,NO,03/06/2018 07:45,10.7,ug m-3,P
224,HG1,NO,03/06/2018 08:00,16.1,ug m-3,P
225,HG1,NO,03/06/2018 08:15,24.8,ug m-3,P
226,HG1,NO,03/06/2018 08:30,16.3,ug m-3,P
227,HG1,NO,03/06/2018 08:45,15.1,ug m-3,P
228,HG1,NO,03/06/2018 09:00,14.4,ug m-3,P
229,HG1,NO,03/06/2018 09:15,15.3,ug m-3,P
230,HG1,NO,03/06/2018 09:30,16.5,ug m-3,P
231,HG1,NO,03/06/2018 09:45,16.8,ug m-3,P
232,HG1,NO,03/06/2018 10:00,18.8,ug m-3,P
233,HG1,NO,03/06/2018 10:15,26.7,ug m-3,P
234,HG1,NO,03/06/2018 10:30,17.3,ug m-3,P
235,HG1,NO,03/06/2018 10:45,19.4,ug m-3,P
236,HG1,NO,03/06/2018 11:00,15.3,ug m-3,P
237,HG1,NO,03/06/2018 11:15,6.5,ug m-3,P
238,HG1,NO,03/06/2018 11:30,9.8,ug m-3,P
239,HG1,NO,03/06/2018 11:45,8.3,ug m-3,P
240,HG1,NO,03/06/2018 12:00,9.4,ug m-3,P
241,HG1,NO,03/06/2018 12:15,8.7,ug m-3,P
242,HG1,NO,03/06/2018 12:30,15.7,ug m-3,P
243,HG1,NO,03/06/2018 12:45,7.6,ug m-3,P
244,HG1,NO,03/06/2018 13:00,8.4,ug m-3,P
245,HG1,NO,03/06/2018 13:15,9.4,ug m-3,P
246,HG1,NO,03/06/2018 13:30,5.1,ug m-3,P
247,HG1,NO,03/06/2018 13:45,8.3,ug m-3,P
248,HG1,NO,03/06/2018 14:00,10.5,ug m-3,P
249,HG1,NO,03/06/2018 14:15,4.1,ug m-3,P
250,HG1,NO,03/06/2018 14:30,6.0,ug m-3,P
251,HG1,NO,03/06/2018 14:45,13.8,ug m-3,P
252,HG1,NO,03/06/2018 15:00,12.7,ug m-3,P
253,HG1,NO,03/06/2018 15:15,4.4,ug m-3,P
254,HG1,NO,03/06/2018 15:30,9.4,ug m-3,P
255,HG1,NO,03/06/2018 15:45,11.2,ug m-3,P
256,HG1,NO,03/06/2018 16:00,4.4,ug m-3,P
257,HG1,NO,03/06/2018 16:15,13.8,ug m-3,P
258,HG1,NO,03/06/2018 16:30,9.5,ug m-3,P
259,HG1,NO,03/06/2018 16:45,11.0,ug m-3,P
260,HG1,NO,03/06/2018 17:00,9.8,ug m-3,P
261,HG1,NO,03/06/2018 17:15,9.9,ug m-3,P
262,HG1,NO,03/06/2018 17:30,9.5,ug m-3,P
263,HG1,NO,03/06/2018 17:45,6.2,ug m-3,P
264,HG1,NO,03/06/2018 18:00,8.2,ug m-3,P
265,HG1,NO,03/06/2018 18:15,18.9,ug m-3,P
266,HG1,NO,03/06/2018 18:30,16.5,ug m-3,P
267,HG1,NO,03/06/2018 18:45,11.5,ug m-3,P
268,HG1,NO,03/06/2018 19:00,18.4,ug m-3,P
269,HG1,NO,03/06/2018 19:15,9.7,ug m-3,P
270,HG1,NO,03/06/2018 19:30,18.1,ug m-3,P
271,HG1,NO,03/06/2018 19:45,16.0,ug m-3,P
272,HG1,NO,03/06/2018 20:00,14.1,ug m-3,P
273,HG1,NO,03/06/2018 20:15,15.4,ug m-3,P
274,HG1,NO,03/06/2018 20:30,21.9,ug m-3,P
275,HG1,NO,03/06/2018 20:45,33.8,ug m-3,P
276,HG1,NO,03/06/2018 21:00,10.6,ug m-3,P
277,HG1,NO,03/06/2018 21:15,6.3,ug m-3,P
278,HG1,NO,03/06/2018 21:30,10.2,ug m-3,P
279,HG1,NO,03/06/2018 21:45,25.5,ug m-3,P
280,HG1,NO,03/06/2018 22:00,8.8,ug m-3,P
281,HG1,NO,03/06/2018 22:15,6.5,ug m-3,P
282,HG1,NO,03/06/2018 22:30,8.4,ug m-3,P
283,HG1,NO,03/06/2018 22:45,5.2,ug m-3,P
284,HG1,NO,03/06/2018 23:00,4.3,ug m-3,P
285,HG1,NO,03/06/2018 23:15,5.2,ug m-3,P
286,HG1,NO,03/06/2018 23:30,6.7,ug m-3,P
287,HG1,NO,03/06/2018 23:45,14.0,ug m-3,P
288,HG1,NO,04/06/2018 00:00,5.1,ug m-3,P
289,HG1,NO,04/06/2018 00:15,7.6,ug m-3,P
290,HG1,NO,04/06/2018 00:30,5.0,ug m-3,P
291,HG1,NO,04/06/2018 00:45,,ug m-3,P
292,HG1,NO,04/06/2018 01:00,,ug m-3,P
293,HG1,NO,04/06/2018 01:15,2.6,ug m-3,P
294,HG1,NO,04/06/2018 01:30,3.2,ug m-3,P
295,HG1,NO,04/06/2018 01:45,3.4,ug m-3,P
296,HG1,NO,04/06/2018 02:00,5.8,ug m-3,P
297,HG1,NO,04/06/2018 02:15,10.0,ug m-3,P
298,HG1,NO,04/06/2018 02:30,6.2,ug m-3,P
299,HG1,NO,04/06/2018 02:45,4.5,ug m-3,P
300,HG1,NO,04/06/2018 03:00,3.9,ug m-3,P
301,HG1,NO,04/06/2018 03:15,4.3,ug m-3,P
302,HG1,NO,04/06/2018 03:30,3.0,ug m-3,P
303,HG1,NO,04/06/2018 03:45,6.6,ug m-3,P
304,HG1,NO,04/06/2018 04:00,5.0,ug m-3,P
305,HG1,NO,04/06/2018 04:15,4.7,ug m-3,P
306,HG1,NO,04/06/2018 04:30,5.0,ug m-3,P
307,HG1,NO,04/06/2018 04:45,6.1,ug m-3,P
308,HG1,NO,04/06/2018 05:00,6.9,ug m-3,P
309,HG1,NO,04/06/2018 05:15,6.0,ug m-3,P
310,HG1,NO,04/06/2018 05:30,13.9,ug m-3,P
311,HG1,NO,04/06/2018 05:45,18.3,ug m-3,P
312,HG1,NO,04/06/2018 06:00,17.1,ug m-3,P
313,HG1,NO,04/06/2018 06:15,14.2,ug m-3,P
314,HG1,NO,04/06/2018 06:30,17.4,ug m-3,P
315,HG1,NO,04/06/2018 06:45,19.5,ug m-3,P
316,HG1,NO,04/06/2018 07:00,19.4,ug m-3,P
317,HG1,NO,04/06/2018 07:15,25.3,ug m-3,P
318,HG1,NO,04/06/2018 07:30,21.7,ug m-3,P
319,HG1,NO,04/06/2018 07:45,32.9,ug m-3,P
320,HG1,NO,04/06/2018 08:00,17.1,ug m-3,P
321,HG1,NO,04/06/2018 08:15,8.8,ug m-3,P
322,HG1,NO,04/06/2018 08:30,21.8,ug m-3,P
323,HG1,NO,04/06/2018 08:45,16.1,ug m-3,P
324,HG1,NO,04/06/2018 09:00,16.0,ug m-3,P
325,HG1,NO,04/06/2018 09:15,18.9,ug m-3,P
326,HG1,NO,04/06/2018 09:30,12.5,ug m-3,P
327,HG1,NO,04/06/2018 09:45,15.8,ug m-3,P
328,HG1,NO,04/06/2018 10:00,25.3,ug m-3,P
329,HG1,NO,04/06/2018 10:15,16.0,ug m-3,P
330,HG1,NO,04/06/2018 10:30,13.3,ug m-3,P
331,HG1,NO,04/06/2018 10:45,12.9,ug m-3,P
332,HG1,NO,04/06/2018 11:00,12.2,ug m-3,P
333,HG1,NO,04/06/2018 11:15,12.3,ug m-3,P
334,HG1,NO,04/06/2018 11:30,19.2,ug m-3,P
335,HG1,NO,04/06/2018 11:45,14.8,ug m-3,P
336,HG1,NO,04/06/2018 12:00,21.5,ug m-3,P
337,HG1,NO,04/06/2018 12:15,27.8,ug m-3,P
338,HG1,NO,04/06/2018 12:30,23.5,ug m-3,P
339,HG1,NO,04/06/2018 12:45,18.8,ug m-3,P
340,HG1,NO,04/06/2018 13:00,14.4,ug m-3,P
341,HG1,NO,04/06/2018 13:15,13.1,ug m-3,P
342,HG1,NO,04/06/2018 13:30,17.4,ug m-3,P
343,HG1,NO,04/06/2018 13:45,12.2,ug m-3,P
344,HG1,NO,04/06/2018 14:00,21.3,ug m-3,P
345,HG1,NO,04/06/2018 14:15,20.6,ug m-3,P
346,HG1,NO,04/06/2018 14:30,28.2,ug m-3,P
347,HG1,NO,04/06/2018 14:45,18.5,ug m-3,P
348,HG1,NO,04/06/2018 15:00,27.8,ug m-3,P
349,HG1,NO,04/06/2018 15:15,18.5,ug m-3,P
350,HG1,NO,04/06/2018 15:30,13.4,ug m-3,P
351,HG1,NO,04/06/2018 15:45,18.7,ug m-3,P
352,HG1,NO,04/06/2018 16:00,24.1,ug m-3,P
353,HG1,NO,04/06/2018 16:15,32.8,ug m-3,P
354,HG1,NO,04/06/2018 16:30,24.9,ug m-3,P
355,HG1,NO,04/06/2018 16:45,18.4,ug m-3,P
356,HG1,NO,04/06/2018 17:00,25.6,ug m-3,P
357,HG1,NO,04/06/2018 17:15,6.7,ug m-3,P
358,HG1,NO,04/06/2018 17:30,14.8,ug m-3,P
359,HG1,NO,04/06/2018 17:45,10.1,ug m-3,P
360,HG1,NO,04/06/2018 18:00,15.0,ug m-3,P
361,HG1,NO,04/06/2018 18:15,22.4,ug m-3,P
362,HG1,NO,04/06/2018 18:30,11.8,ug m-3,P
363,HG1,NO,04/06/2018 18:45,15.8,ug m-3,P
364,HG1,NO,04/06/2018 19:00,15.4,ug m-3,P
365,HG1,NO,04/06/2018 19:15,15.0,ug m-3,P
366,HG1,NO,04/06/2018 19:30,9.8,ug m-3,P
367,HG1,NO,04/06/2018 19:45,9.0,ug m-3,P
368,HG1,NO,04/06/2018 20:00,5.9,ug m-3,P
369,HG1,NO,04/06/2018 20:15,8.1,ug m-3,P
370,HG1,NO,04/06/2018 20:30,11.4,ug m-3,P
371,HG1,NO,04/06/2018 20:45,10.0,ug m-3,P
372,HG1,NO,04/06/2018 21:00,5.4,ug m-3,P
373,HG1,NO,04/06/2018 21:15,8.8,ug m-3,P
374,HG1,NO,04/06/2018 21:30,8.2,ug m-3,P
375,HG1,NO,04/06/2018 21:45,10.5,ug m-3,P
376,HG1,NO,04/06/2018 22:00,3.3,ug m-3,P
377,HG1,NO,04/06/2018 22:15,5.5,ug m-3,P
378,HG1,NO,04/06/2018 22:30,4.3,ug m-3,P
379,HG1,NO,04/06/2018 22:45,7.8,ug m-3,P
380,HG1,NO,04/06/2018 23:00,6.0,ug m-3,P
381,HG1,NO,04/06/2018 23:15,5.3,ug m-3,P
382,HG1,NO,04/06/2018 23:30,4.0,ug m-3,P
383,HG1,NO,04/06/2018 23:45,3.7,ug m-3,P
384,HG1,NO,05/06/2018 00:00,5.5,ug m-3,P
385,HG1,NO,05/06/2018 00:15,3.0,ug m-3,P
386,HG1,NO,05/06/2018 00:30,3.5,ug m-3,P
387,HG1,NO,05/06/2018 00:45,,ug m-3,P
388,HG1,NO,05/06/2018 01:00,,ug m-3,P
389,HG1,NO,05/06/2018 01:15,3.7,ug m-3,P
390,HG1,NO,05/06/2018 01:30,2.9,ug m-3,P
391,HG1,NO,05/06/2018 01:45,2.0,ug m-3,P
392,HG1,NO,05/06/2018 02:00,6.1,ug m-3,P
393,HG1,NO,05/06/2018 02:15,2.2,ug m-3,P
394,HG1,NO,05/06/2018 02:30,2.4,ug m-3,P
395,HG1,NO,05/06/2018 02:45,3.8,ug m-3,P
396,HG1,NO,05/06/2018 03:00,3.8,ug m-3,P
397,HG1,NO,05/06/2018 03:15,1.6,ug m-3,P
398,HG1,NO,05/06/2018 03:30,3.8,ug m-3,P
399,HG1,NO,05/06/2018 03:45,4.7,ug m-3,P
400,HG1,NO,05/06/2018 04:00,7.1,ug m-3,P
401,HG1,NO,05/06/2018 04:15,6.7,ug m-3,P
402,HG1,NO,05/06/2018 04:30,16.7,ug m-3,P
403,HG1,NO,05/06/2018 04:45,6.7,ug m-3,P
404,HG1,NO,05/06/2018 05:00,8.5,ug m-3,P
405,HG1,NO,05/06/2018 05:15,19.5,ug m-3,P
406,HG1,NO,05/06/2018 05:30,13.9,ug m-3,P
407,HG1,NO,05/06/2018 05:45,16.2,ug m-3,P
408,HG1,NO,05/06/2018 06:00,13.5,ug m-3,P
409,HG1,NO,05/06/2018 06:15,17.2,ug m-3,P
410,HG1,NO,05/06/2018 06:30,12.5,ug m-3,P
411,HG1,NO,05/06/2018 06:45,18.0,ug m-3,P
412,HG1,NO,05/06/2018 07:00,19.8,ug m-3,P
413,HG1,NO,05/06/2018 07:15,24.5,ug m-3,P
414,HG1,NO,05/06/2018 07:30,18.5,ug m-3,P
415,HG1,NO,05/06/2018 07:45,18.7,ug m-3,P
416,HG1,NO,05/06/2018 08:00,32.9,ug m-3,P
417,HG1,NO,05/06/2018 08:15,19.5,ug m-3,P
418,HG1,NO,05/06/2018 08:30,26.3,ug m-3,P
419,HG1,NO,05/06/2018 08:45,19.6,ug m-3,P
420,HG1,NO,05/06/2018 09:00,21.8,ug m-3,P
421,HG1,NO,05/06/2018 09:15,14.1,ug m-3,P
422,HG1,NO,05/06/2018 09:30,22.6,ug m-3,P
423,HG1,NO,05/06/2018 09:45,21.5,ug m-3,P
424,HG1,NO,05/06/2018 10:00,33.7,ug m-3,P
425,HG1,NO,05/06/2018 10:15,20.2,ug m-3,P
426,HG1,NO,05/06/2018 10:30,24.6,ug m-3,P
427,HG1,NO,05/06/2018 10:45,13.6,ug m-3,P
428,HG1,NO,05/06/2018 11:00,15.1,ug m-3,P
429,HG1,NO,05/06/2018 11:15,19.3,ug m-3,P
430,HG1,NO,05/06/2018 11:30,14.7,ug m-3,P
431,HG1,NO,05/06/2018 11:45,21.8,ug m-3,P
432,HG1,NO,05/06/2018 12:00,15.9,ug m-3,P
433,HG1,NO,05/06/2018 12:15,17.7,ug m-3,P
434,HG1,NO,05/06/2018 12:30,15.5,ug m-3,P
435,HG1,NO,05/06/2018 12:45,25.5,ug m-3,P
436,HG1,NO,05/06/2018 13:00,19.0,ug m-3,P
