,address,info,z_address,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,yearbuilt,zestimate,zindexvalue,zipcode,zpid
5304,Address: 355 1st Street #2302,San FranciscoSales price: 2000000Sales date: 02/05/2015Bedrooms: 2Square feet: 1481Lot size: 38571,355 1st St UNIT 2302,2,2,1481,10/26/2011,1050000,37.787029,-122.3936,South Beach,5,Condominium,2004,1916921,1269100,94105,2131007626
5305,Address: 240 Myrtle Street,San FranciscoSales price: 548000Sales date: 02/05/2015Bedrooms: 2Square feet: 1014Lot size: 3828,240 Myrtle St,1,2,1200,02/05/2015,548000,37.785215,-122.422165,Van Ness - Civic Center,6,Condominium,1900,819463,839200,94109,15077131
5306,Address: 86 Bellevue Avenue,San FranciscoSales price: 830000Sales date: 02/05/2015Bedrooms: 3Square feet: 1211Lot size: 3092,86 Bellevue Ave,2.5,3,1400,02/05/2015,830000,37.708539,-122.440957,Crocker Amazon,6,SingleFamily,1961,983771,817600,94112,15179736
5309,Address: 132 Faith Street,San FranciscoSales price: 730000Sales date: 02/04/2015Bedrooms: 1Square feet: 625Lot size: 1750,132 Faith St,1,1,625,02/04/2015,730000,37.744374,-122.406499,Bernal Heights,4,SingleFamily,1890,961550,1214400,94110,15160887
5311,Address: 2130 Santiago Street,San FranciscoSales price: 670000Sales date: 02/04/2015Bedrooms: 0Square feet: 1290Lot size: 2600,2130 Santiago St,1,2,1290,02/04/2015,670000,37.744523,-122.490395,Parkside,5,SingleFamily,1929,1268213,1094000,94116,15119174
5312,Address: 440 Steiner Street,San FranciscoSales price: 1300000Sales date: 02/04/2015Bedrooms: 3Square feet: 2016Lot size: 2885,440 Steiner St,2.5,3,2016,02/17/2016,1500000,37.773237,-122.432302,Hayes Valley,7,Condominium,1890,1547152,1202900,94117,118608077
5314,Address: 2001 McAllister Street #134,San FranciscoSales price: 700000Sales date: 02/04/2015Bedrooms: 1Square feet: 658Lot size: 98109,2001 Mcallister St APT 134,1,1,658,02/04/2015,700000,37.776382,-122.445739,North Panhandle,3,Condominium,2002,737642,1211900,94118,80754277
5321,Address: 425 1st Street #1608,San FranciscoSales price: 915000Sales date: 02/03/2015Bedrooms: 1Square feet: 755Lot size: 56024,425 1st St UNIT 1608,1,1,755,02/03/2015,915000,37.786064,-122.392173,South Beach,3,Condominium,2008,1130523,1269100,94105,83153982
5322,Address: 1163 Wisconsin Street,San FranciscoSales price: 1335000Sales date: 02/03/2015Bedrooms: 3Square feet: 1874Lot size: 2495,1163 Wisconsin St,2,3,1845,02/03/2015,1335000,37.752748,-122.398192,Potrero Hill,9,SingleFamily,1900,1277304,1264000,94107,15152182
5323,Address: 2224 25th Street,San FranciscoSales price: 1605000Sales date: 02/03/2015Bedrooms: 0Square feet: 764Lot size: 1750,2224 25th St,2,3,764,02/03/2015,1605000,37.752207,-122.400942,Potrero Hill,4,SingleFamily,1920,1462936,1264000,94107,15152259
5324,Address: 1 Daniel Burnham Court #713,San FranciscoSales price: 700000Sales date: 02/03/2015Bedrooms: 1Square feet: 750Lot size: 46157,1 Daniel Burnham Ct APT 713,1,1,750,02/03/2015,700000,37.786755,-122.4225,Van Ness - Civic Center,3,Condominium,1988,757371,839200,94109,15076637
5327,Address: 2817 24th Street,San FranciscoSales price: 1850000Sales date: 02/03/2015Bedrooms: 0Square feet: 2760Lot size: 1598,2817 24th St,4,6,2760,02/03/2015,1850000,37.752632,-122.408587,Mission,10,MultiFamily2To4,1907,2074220,1167700,94110,15152453
5328,Address: 857 Alabama Street,San FranciscoSales price: 2150000Sales date: 02/03/2015Bedrooms: 3Square feet: 2054Lot size: 0,857 Alabama St,3,3,2054,02/03/2015,2150000,37.758193,-122.411216,Mission,6,Condominium,2012,2109733,1167700,94110,119685564
5329,Address: 1501 Filbert Street #7B,San FranciscoSales price: 1295000Sales date: 02/03/2015Bedrooms: 0Square feet: 0Lot size: 0,1501 Filbert St APT 7B,2,2,1090,02/03/2015,1295000,37.799205,-122.424522,Cow Hollow,5,Condominium,2014,1601382,2134300,94123,124398066
5330,Address: 59 Yale Street,San FranciscoSales price: 760000Sales date: 02/03/2015Bedrooms: 3Square feet: 2237Lot size: 2996,59 Yale St,3,3,2237,02/03/2015,760000,37.728333,-122.417763,Portola,8,SingleFamily,1949,1125966,891600,94134,15166774
5333,Address: 555 4th Street #802,San FranciscoSales price: 770000Sales date: 02/02/2015Bedrooms: 1Square feet: 670Lot size: 63237,555 4th St UNIT 802,1,1,670,02/02/2015,770000,37.779422,-122.396712,South of Market,3,Condominium,2006,808302,957300,94107,79846516
5334,Address: 1925 Pacific Avenue #6,San FranciscoSales price: 1800000Sales date: 02/02/2015Bedrooms: 3Square feet: 1616Lot size: 4992,1925 Pacific Ave APT 6,2,3,1616,02/02/2015,1800000,37.794105,-122.42698,Pacific Heights,6,Condominium,1918,2045945,1884400,94109,15073538
5336,Address: 818 Persia Avenue,San FranciscoSales price: 582500Sales date: 02/02/2015Bedrooms: 2Square feet: 1209Lot size: 2500,818 Persia Ave,1,2,1209,02/02/2015,582500,37.719692,-122.429305,Excelsior,6,SingleFamily,1900,621234,757400,94112,15171364
5338,Address: 2051 Scott Street #403,San FranciscoSales price: 830000Sales date: 02/02/2015Bedrooms: 1Square feet: 871Lot size: 5250,2051 Scott St APT 403,1,1,777,02/02/2015,830000,37.788896,-122.439168,Pacific Heights,4,Condominium,1915,874244,1884400,94115,15082566
