,address,info,z_address,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,yearbuilt,zestimate,zindexvalue,zipcode,zpid
10125,Address: 670 Edinburgh Street,San FranciscoSales price: 651000Sales date: 01/28/2014Bedrooms: 0Square feet: 1544Lot size: 2495,670 Edinburgh St,2,3,1550,01/28/2014,651000,37.718698,-122.434266,Excelsior,8,SingleFamily,1927,803664,757400,94112,15174679
10126,Address: 374 Ewing Terrace,San FranciscoSales price: 1296000Sales date: 01/28/2014Bedrooms: 2Square feet: 1250Lot size: 1907,374 Ewing Ter,1,2,1250,01/28/2014,1296000,37.779742,-122.447853,Lone Mountain,5,SingleFamily,1939,1281849,1419600,94118,15084126
10127,Address: 4341 Kirkham Street,San FranciscoSales price: 766000Sales date: 01/28/2014Bedrooms: 2Square feet: 1362Lot size: 1652,4341 Kirkham St,4,3,1362,01/28/2014,766000,37.758316,-122.507593,Outer Sunset,6,SingleFamily,1956,1148155,1030300,94122,15107998
10129,Address: 1530 44th Avenue,San FranciscoSales price: 930000Sales date: 01/28/2014Bedrooms: 2Square feet: 1640Lot size: 3000,1530 44th Ave,1,2,1640,01/28/2014,930000,37.758046,-122.503281,Outer Sunset,10,SingleFamily,1936,1116517,1030300,94122,15107785
10130,Address: 1958 Vallejo Street #11,San FranciscoSales price: 6000000Sales date: 01/28/2014Bedrooms: 0Square feet: 3358Lot size: 6875,1958 Vallejo St APT 11,4.5,4,2734,01/28/2014,6000000,37.796221,-122.429523,Pacific Heights,7,Condominium,1926,7227830,1884400,94123,15072288
10131,Address: 1922 Palou Avenue,San FranciscoSales price: 685000Sales date: 01/28/2014Bedrooms: 0Square feet: 1540Lot size: 2500,1922 Palou Ave,5,3,1540,01/28/2014,685000,37.737627,-122.396809,Silver Terrace,6,SingleFamily,1931,843586,720300,94124,15156328
10132,Address: 17 Tioga Avenue,San FranciscoSales price: 602000Sales date: 01/28/2014Bedrooms: 0Square feet: 1025Lot size: 2495,17 Tioga Ave,1,2,1025,01/28/2014,602000,37.715568,-122.403335,Visitacion Valley,4,SingleFamily,1956,650025,690400,94134,15173354
10134,Address: 601 Van Ness Avenue #450,San FranciscoSales price: 505000Sales date: 01/27/2014Bedrooms: 1Square feet: 673Lot size: 105806,601 Van Ness Ave APT 450,1,1,673,12/08/2014,521500,37.781386,-122.421406,Van Ness - Civic Center,3,Condominium,1982,592001,839200,94102,15077974
10135,Address: 17 Curtis Street,San FranciscoSales price: 440000Sales date: 01/27/2014Bedrooms: 0Square feet: 791Lot size: 1563,17 Curtis St,1,1,791,08/21/2014,615000,37.71459,-122.439925,Crocker Amazon,7,SingleFamily,1910,621182,817600,94112,15178644
10136,Address: 139 Madrid Street,San FranciscoSales price: 575000Sales date: 01/27/2014Bedrooms: 0Square feet: 1000Lot size: 2495,139 Madrid St,2,2,1689,01/27/2014,575000,37.727087,-122.428332,Excelsior,6,SingleFamily,1939,937986,757400,94112,15167937
